sample	rank	taxid	name	reads	min	uniq	rpm	rpmm
DRR053751	G	5455	Colletotrichum	136	271	35	3.45408966247855	5998.58856739591
DRR053751	S	80884	Colletotrichum higginsianum	136	271	35	3.45408966247855	5998.58856739591
DRR053751	G	5506	Fusarium	22	387	98	0.558749798342118	970.359915314044
DRR053751	S	5127	Fusarium fujikuroi	13	133	20	0.330170335383979	573.394495412844
DRR053751	S	5518	Fusarium graminearum	1	19	11	0.0253977181064599	44.1072688779111
DRR053751	S	5507	Fusarium oxysporum	1	48	12	0.0253977181064599	44.1072688779111
DRR053751	G	243023	Pochonia	3	40	12	0.0761931543193798	132.321806633733
DRR053751	S	280754	Pochonia chlamydosporia	3	40	12	0.0761931543193798	132.321806633733
DRR053751	G	98402	Drechmeria	1	32	13	0.0253977181064599	44.1072688779111
DRR053751	S	98403	Drechmeria coniospora	1	32	13	0.0253977181064599	44.1072688779111
DRR053751	G	2609811	Thermothielavioides	4	75	25	0.10159087242584	176.429075511644
DRR053751	S	2587410	Thermothielavioides terrestris	4	75	25	0.10159087242584	176.429075511644
DRR053751	G	1920207	Thermothelomyces	2	165	24	0.0507954362129198	88.2145377558222
DRR053751	S	78579	Thermothelomyces thermophilus	2	165	24	0.0507954362129198	88.2145377558222
DRR053751	G	5140	Neurospora	3	84	22	0.0761931543193798	132.321806633733
DRR053751	S	5141	Neurospora crassa	3	84	22	0.0761931543193798	132.321806633733
DRR053751	G	48558	Pyricularia	3	187	48	0.0761931543193798	132.321806633733
DRR053751	S	318829	Pyricularia oryzae	2	17	11	0.0507954362129198	88.2145377558222
DRR053751	G	33196	Botrytis	1	53	21	0.0253977181064599	44.1072688779111
DRR053751	S	40559	Botrytis cinerea	1	53	21	0.0253977181064599	44.1072688779111
DRR053751	G	5052	Aspergillus	5	160	36	0.1269885905323	220.536344389555
DRR053751	G	5094	Talaromyces	2	232	27	0.0507954362129198	88.2145377558222
DRR053751	S	121627	Talaromyces rugulosus	2	232	27	0.0507954362129198	88.2145377558222
DRR053751	G	29002	Cercospora	7	308	18	0.177784026745219	308.750882145378
DRR053751	S	122368	Cercospora beticola	7	308	18	0.177784026745219	308.750882145378
DRR053751	G	13366	Brettanomyces	16	97	24	0.406363489703359	705.716302046577
DRR053751	S	5007	Brettanomyces bruxellensis	13	44	9	0.330170335383979	573.394495412844
DRR053751	S	13502	Brettanomyces nanus	3	53	15	0.0761931543193798	132.321806633733
DRR053751	G	461281	Ogataea	11	55	9	0.279374899171059	485.179957657022
DRR053751	S	1005962	Ogataea parapolymorpha	11	55	9	0.279374899171059	485.179957657022
DRR053751	G	4919	Pichia	1	27	9	0.0253977181064599	44.1072688779111
DRR053751	S	4909	Pichia kudriavzevii	1	27	9	0.0253977181064599	44.1072688779111
DRR053751	G	33170	Eremothecium	7	243	21	0.177784026745219	308.750882145378
DRR053751	S	45286	Eremothecium sinecaudum	5	23	5	0.1269885905323	220.536344389555
DRR053751	S	33169	Eremothecium gossypii	2	39	9	0.0507954362129198	88.2145377558222
DRR053751	G	71245	Kazachstania	6	22	6	0.15238630863876	264.643613267466
DRR053751	S	588726	Kazachstania naganishii	6	21	5	0.15238630863876	264.643613267466
DRR053751	G	4910	Kluyveromyces	1	84	15	0.0253977181064599	44.1072688779111
DRR053751	S	28985	Kluyveromyces lactis	1	20	6	0.0253977181064599	44.1072688779111
DRR053751	G	5475	Candida	5	116	32	0.1269885905323	220.536344389555
DRR053751	S	42374	Candida dubliniensis	3	15	10	0.0761931543193798	132.321806633733
DRR053751	S	5476	Candida albicans	2	93	17	0.0507954362129198	88.2145377558222
DRR053751	G	766733	Scheffersomyces	2	30	9	0.0507954362129198	88.2145377558222
DRR053751	S	4924	Scheffersomyces stipitis	2	30	9	0.0507954362129198	88.2145377558222
DRR053751	G	460517	Komagataella	3	17	8	0.0761931543193798	132.321806633733
DRR053751	S	460519	Komagataella phaffii	3	17	8	0.0761931543193798	132.321806633733
DRR053751	G	4951	Yarrowia	1	45	17	0.0253977181064599	44.1072688779111
DRR053751	S	4952	Yarrowia lipolytica	1	45	17	0.0253977181064599	44.1072688779111
DRR053751	G	410829	Sugiyamaella	1	44	14	0.0253977181064599	44.1072688779111
DRR053751	S	796027	Sugiyamaella lignohabitans	1	44	14	0.0253977181064599	44.1072688779111
DRR053751	G	4895	Schizosaccharomyces	4	29	14	0.10159087242584	176.429075511644
DRR053751	S	4896	Schizosaccharomyces pombe	4	29	14	0.10159087242584	176.429075511644
DRR053751	G	55193	Malassezia	346	1573	1522	8.78761046483513	15261.1150317572
DRR053751	S	76775	Malassezia restricta	346	1573	1522	8.78761046483513	15261.1150317572
DRR053751	G	5269	Ustilago	23	347	21	0.584147516448578	1014.46718419195
DRR053751	S	5270	Ustilago maydis	23	347	21	0.584147516448578	1014.46718419195
DRR053751	G	63265	Sporisorium	8	145	35	0.203181744851679	352.858151023289
DRR053751	S	280036	Sporisorium graminicola	8	145	35	0.203181744851679	352.858151023289
DRR053751	G	5206	Cryptococcus	5	381	28	0.1269885905323	220.536344389555
DRR053751	S	5207	Cryptococcus neoformans	4	65	16	0.10159087242584	176.429075511644
DRR053751	G	6033	Encephalitozoon	26	122	14	0.660340670767958	1146.78899082569
DRR053751	S	58839	Encephalitozoon intestinalis	12	57	3	0.304772617277519	529.287226534933
DRR053751	G	1912216	Cutibacterium	14179	65646	60489	360.114245031495	625396.965419901
DRR053751	S	1747	Cutibacterium acnes	13562	62159	57326	344.443852959809	598182.78052223
DRR053751	S	33011	Cutibacterium granulosum	37	179	179	0.939715569939017	1631.96894848271
DRR053751	S	33010	Cutibacterium avidum	23	122	117	0.584147516448578	1014.46718419195
DRR053751	S	2559073	Cutibacterium modestum	3	25	22	0.0761931543193798	132.321806633733
DRR053751	G	1743	Propionibacterium	1	5	5	0.0253977181064599	44.1072688779111
DRR053751	S	1744	Propionibacterium freudenreichii	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	72763	Tessaracoccus	1	8	7	0.0253977181064599	44.1072688779111
DRR053751	G	2801844	Arachnia	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	1750	Arachnia propionica	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	1839	Nocardioides	1	67	45	0.0253977181064599	44.1072688779111
DRR053751	S	2017486	Nocardioides sp. S5	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	2040	Aeromicrobium	1	8	7	0.0253977181064599	44.1072688779111
DRR053751	S	2079793	Aeromicrobium chenweiae	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	1716	Corynebacterium	142	803	723	3.60647597111731	6263.23218066337
DRR053751	S	1979527	Corynebacterium kefirresidentii	77	403	384	1.95562429419741	3396.25970359915
DRR053751	S	161879	Corynebacterium kroppenstedtii	11	48	48	0.279374899171059	485.179957657022
DRR053751	S	38304	Corynebacterium tuberculostearicum	8	35	35	0.203181744851679	352.858151023289
DRR053751	S	43768	Corynebacterium matruchotii	3	13	11	0.0761931543193798	132.321806633733
DRR053751	S	1717	Corynebacterium diphtheriae	2	9	9	0.0507954362129198	88.2145377558222
DRR053751	S	43770	Corynebacterium striatum	2	10	10	0.0507954362129198	88.2145377558222
DRR053751	S	161899	Corynebacterium singulare	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	S	146827	Corynebacterium simulans	1	11	6	0.0253977181064599	44.1072688779111
DRR053751	S	38301	Corynebacterium minutissimum	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	1763	Mycobacterium	21	248	53	0.533352080235658	926.252646436133
DRR053751	S	1768	Mycobacterium kansasii	19	124	9	0.482556644022739	838.038108680311
DRR053751	S	1168287	Mycobacterium sp. MOTT36Y	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	1138383	Mycobacterium paraintracellulare	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	1866885	Mycolicibacterium	13	156	85	0.330170335383979	573.394495412844
DRR053751	S	1795	Mycolicibacterium neoaurum	5	18	17	0.1269885905323	220.536344389555
DRR053751	S	1794	Mycolicibacterium gadium	2	3	3	0.0507954362129198	88.2145377558222
DRR053751	S	56689	Mycolicibacterium mucogenicum	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	39691	Mycolicibacterium moriokaense	1	12	6	0.0253977181064599	44.1072688779111
DRR053751	S	1804	Mycolicibacterium gilvum	1	5	5	0.0253977181064599	44.1072688779111
DRR053751	S	319706	Mycolicibacterium phocaicum	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	1073531	Mycolicibacter	1	4	3	0.0253977181064599	44.1072688779111
DRR053751	S	29314	Mycolicibacter hiberniae	1	4	3	0.0253977181064599	44.1072688779111
DRR053751	G	2053	Gordonia	13	69	63	0.330170335383979	573.394495412844
DRR053751	S	84595	Gordonia polyisoprenivorans	7	28	27	0.177784026745219	308.750882145378
DRR053751	S	2420509	Gordonia insulae	5	17	17	0.1269885905323	220.536344389555
DRR053751	S	2054	Gordonia bronchialis	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	1847725	Lawsonella	7	48	47	0.177784026745219	308.750882145378
DRR053751	S	1528099	Lawsonella clevelandensis	7	48	47	0.177784026745219	308.750882145378
DRR053751	G	1827	Rhodococcus	3	72	38	0.0761931543193798	132.321806633733
DRR053751	S	1828	Rhodococcus fascians	1	22	6	0.0253977181064599	44.1072688779111
DRR053751	S	1830	Rhodococcus ruber	1	6	3	0.0253977181064599	44.1072688779111
DRR053751	G	32207	Rothia	23	119	117	0.584147516448578	1014.46718419195
DRR053751	S	2047	Rothia dentocariosa	21	94	92	0.533352080235658	926.252646436133
DRR053751	S	43675	Rothia mucilaginosa	2	8	8	0.0507954362129198	88.2145377558222
DRR053751	G	57493	Kocuria	2	27	18	0.0507954362129198	88.2145377558222
DRR053751	S	71999	Kocuria palustris	2	5	5	0.0507954362129198	88.2145377558222
DRR053751	G	33882	Microbacterium	2	69	46	0.0507954362129198	88.2145377558222
DRR053751	S	82380	Microbacterium oxydans	2	4	4	0.0507954362129198	88.2145377558222
DRR053751	G	1696	Brevibacterium	1	27	23	0.0253977181064599	44.1072688779111
DRR053751	S	33889	Brevibacterium casei	1	8	6	0.0253977181064599	44.1072688779111
DRR053751	G	36739	Dermabacter	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	1667168	Dermabacter jinjuensis	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	57495	Dermacoccus	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	1274	Dermacoccus nishinomiyaensis	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	1883	Streptomyces	10	904	397	0.253977181064599	441.072688779111
DRR053751	S	2136173	Streptomyces sp. So13.3	1	26	5	0.0253977181064599	44.1072688779111
DRR053751	S	1855352	Streptomyces sp. TLI_053	1	7	6	0.0253977181064599	44.1072688779111
DRR053751	S	1964449	Streptomyces sp. 3211	1	5	4	0.0253977181064599	44.1072688779111
DRR053751	S	2203210	Streptomyces sp. WAC 06738	1	8	5	0.0253977181064599	44.1072688779111
DRR053751	S	2721173	Streptomyces sp. DSM 40868	1	5	1	0.0253977181064599	44.1072688779111
DRR053751	S	1916	Streptomyces lividans	4	70	8	0.10159087242584	176.429075511644
DRR053751	G	1654	Actinomyces	5	47	40	0.1269885905323	220.536344389555
DRR053751	S	544580	Actinomyces oris	3	8	7	0.0761931543193798	132.321806633733
DRR053751	G	2050	Mobiluncus	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	2051	Mobiluncus curtisii	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	2529408	Schaalia	1	8	7	0.0253977181064599	44.1072688779111
DRR053751	S	1660	Schaalia odontolytica	1	7	6	0.0253977181064599	44.1072688779111
DRR053751	G	2888879	Nanchangia	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	2692125	Nanchangia anserum	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	1678	Bifidobacterium	4	48	20	0.10159087242584	176.429075511644
DRR053751	S	1685	Bifidobacterium breve	3	9	9	0.0761931543193798	132.321806633733
DRR053751	S	1689	Bifidobacterium dentium	1	28	1	0.0253977181064599	44.1072688779111
DRR053751	G	1865	Actinoplanes	1	36	19	0.0253977181064599	44.1072688779111
DRR053751	S	649831	Actinoplanes sp. N902-109	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	1873	Micromonospora	1	97	45	0.0253977181064599	44.1072688779111
DRR053751	S	47850	Micromonospora aurantiaca	1	2	1	0.0253977181064599	44.1072688779111
DRR053751	G	1847	Pseudonocardia	1	32	17	0.0253977181064599	44.1072688779111
DRR053751	G	2071	Saccharothrix	1	16	7	0.0253977181064599	44.1072688779111
DRR053751	S	103731	Saccharothrix espanaensis	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	53460	Nakamurella	2	6	6	0.0507954362129198	88.2145377558222
DRR053751	S	53461	Nakamurella multipartita	2	5	5	0.0507954362129198	88.2145377558222
DRR053751	G	33981	Kineococcus	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	131568	Kineococcus radiotolerans	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	38501	Blastococcus	1	13	7	0.0253977181064599	44.1072688779111
DRR053751	S	138336	Blastococcus saxobsidens	1	13	7	0.0253977181064599	44.1072688779111
DRR053751	G	1279	Staphylococcus	1517	7713	5823	38.5283383674997	66910.7268877911
DRR053751	S	29388	Staphylococcus capitis	617	2802	2661	15.6703920716858	27214.1848976711
DRR053751	S	1282	Staphylococcus epidermidis	381	1776	1699	9.67653059856123	16804.8694424841
DRR053751	S	1280	Staphylococcus aureus	235	1730	102	5.96846375501808	10365.2081863091
DRR053751	S	29380	Staphylococcus caprae	45	186	179	1.1428973147907	1984.827099506
DRR053751	S	1292	Staphylococcus warneri	35	137	131	0.888920133726097	1543.75441072689
DRR053751	S	45972	Staphylococcus pasteuri	20	91	90	0.507954362129198	882.145377558222
DRR053751	S	1290	Staphylococcus hominis	8	37	36	0.203181744851679	352.858151023289
DRR053751	S	28035	Staphylococcus lugdunensis	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	G	1386	Bacillus	1044	4308	75	26.5152177031442	46047.9887085392
DRR053751	S	1396	Bacillus cereus	1039	4228	28	26.3882291126119	45827.4523641496
DRR053751	S	1405	Bacillus mycoides	2	4	3	0.0507954362129198	88.2145377558222
DRR053751	S	1428	Bacillus thuringiensis	1	8	5	0.0253977181064599	44.1072688779111
DRR053751	G	84406	Virgibacillus	103	354	4	2.61596496496537	4543.04869442484
DRR053751	S	2700081	Virgibacillus sp. MSP4-1	103	344	2	2.61596496496537	4543.04869442484
DRR053751	G	129337	Geobacillus	4	28	27	0.10159087242584	176.429075511644
DRR053751	S	1422	Geobacillus stearothermophilus	2	4	4	0.0507954362129198	88.2145377558222
DRR053751	S	33940	Geobacillus thermodenitrificans	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	2800373	Priestia	3	96	11	0.0761931543193798	132.321806633733
DRR053751	S	1404	Priestia megaterium	3	95	10	0.0761931543193798	132.321806633733
DRR053751	G	1378	Gemella	5	27	16	0.1269885905323	220.536344389555
DRR053751	S	1379	Gemella haemolysans	3	5	4	0.0761931543193798	132.321806633733
DRR053751	S	29391	Gemella morbillorum	2	18	9	0.0507954362129198	88.2145377558222
DRR053751	G	1301	Streptococcus	86	425	391	2.18420375715555	3793.22512350035
DRR053751	S	1303	Streptococcus oralis	12	42	40	0.304772617277519	529.287226534933
DRR053751	S	2598453	Streptococcus sp. 116-D4	4	15	15	0.10159087242584	176.429075511644
DRR053751	S	712623	Streptococcus sp. oral taxon 061	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	28037	Streptococcus mitis	5	24	24	0.1269885905323	220.536344389555
DRR053751	S	1433513	Streptococcus gwangjuense	2	4	4	0.0507954362129198	88.2145377558222
DRR053751	S	1305	Streptococcus sanguinis	2	5	5	0.0507954362129198	88.2145377558222
DRR053751	S	1302	Streptococcus gordonii	2	13	12	0.0507954362129198	88.2145377558222
DRR053751	S	2382163	Streptococcus koreensis	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	361101	Streptococcus pseudoporcinus	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	1313	Streptococcus pneumoniae	1	12	11	0.0253977181064599	44.1072688779111
DRR053751	G	1578	Lactobacillus	28	173	114	0.711136106980878	1235.00352858151
DRR053751	S	147802	Lactobacillus iners	20	84	83	0.507954362129198	882.145377558222
DRR053751	S	109790	Lactobacillus jensenii	6	25	24	0.15238630863876	264.643613267466
DRR053751	S	1584	Lactobacillus delbrueckii	2	58	2	0.0507954362129198	88.2145377558222
DRR053751	G	1253	Pediococcus	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	1254	Pediococcus acidilactici	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	2742598	Limosilactobacillus	1	6	5	0.0253977181064599	44.1072688779111
DRR053751	S	1598	Limosilactobacillus reuteri	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	2759736	Lacticaseibacillus	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	46123	Abiotrophia	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	46125	Abiotrophia defectiva	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	2689587	Suicoccus	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	2036206	Suicoccus acidiformans	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	150022	Finegoldia	19	93	92	0.482556644022739	838.038108680311
DRR053751	S	1260	Finegoldia magna	19	93	92	0.482556644022739	838.038108680311
DRR053751	G	162289	Peptoniphilus	3	15	15	0.0761931543193798	132.321806633733
DRR053751	S	54005	Peptoniphilus harei	3	15	15	0.0761931543193798	132.321806633733
DRR053751	G	165779	Anaerococcus	2	9	9	0.0507954362129198	88.2145377558222
DRR053751	S	33034	Anaerococcus prevotii	2	6	6	0.0507954362129198	88.2145377558222
DRR053751	G	1485	Clostridium	4	66	39	0.10159087242584	176.429075511644
DRR053751	S	169679	Clostridium saccharobutylicum	3	11	3	0.0761931543193798	132.321806633733
DRR053751	S	1513	Clostridium tetani	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	2733	Symbiobacterium	1	41	4	0.0253977181064599	44.1072688779111
DRR053751	S	2734	Symbiobacterium thermophilum	1	41	4	0.0253977181064599	44.1072688779111
DRR053751	G	44000	Caldicellulosiruptor	3	12	12	0.0761931543193798	132.321806633733
DRR053751	S	301953	Caldicellulosiruptor acetigenus	2	6	6	0.0507954362129198	88.2145377558222
DRR053751	G	2786989	Koleobacter	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	S	2751313	Koleobacter methoxysyntrophicus	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	G	29465	Veillonella	3	20	19	0.0761931543193798	132.321806633733
DRR053751	S	29466	Veillonella parvula	2	11	10	0.0507954362129198	88.2145377558222
DRR053751	G	904	Acidaminococcus	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	905	Acidaminococcus fermentans	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	1186	Calothrix	2	23	11	0.0507954362129198	88.2145377558222
DRR053751	S	99598	Calothrix sp. PCC 7507	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	1158	Oscillatoria	2	5	3	0.0507954362129198	88.2145377558222
DRR053751	S	482564	Oscillatoria nigro-viridis	2	4	2	0.0507954362129198	88.2145377558222
DRR053751	G	270	Thermus	1	19	15	0.0253977181064599	44.1072688779111
DRR053751	S	2483360	Thermus caldilimi	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	374	Bradyrhizobium	926	4220	4055	23.5182869665819	40843.3309809457
DRR053751	S	288000	Bradyrhizobium sp. BTAi1	479	2026	1963	12.1655069729943	21127.3817925194
DRR053751	S	2715960	Bradyrhizobium sp. PSBB068	228	957	919	5.79067972827286	10056.4573041637
DRR053751	S	1325112	Bradyrhizobium sp. CCBAU 53340	5	14	14	0.1269885905323	220.536344389555
DRR053751	S	115808	Bradyrhizobium sp. ORS 285	4	13	13	0.10159087242584	176.429075511644
DRR053751	S	2057741	Bradyrhizobium sp. SK17	4	27	25	0.10159087242584	176.429075511644
DRR053751	S	1404888	Bradyrhizobium sp. 1(2017)	1	4	3	0.0253977181064599	44.1072688779111
DRR053751	S	1325102	Bradyrhizobium sp. CCBAU 51765	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	1325114	Bradyrhizobium sp. CCBAU 53351	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	S	1325090	Bradyrhizobium guangdongense	9	42	41	0.228579462958139	396.9654199012
DRR053751	S	1355477	Bradyrhizobium diazoefficiens	8	47	33	0.203181744851679	352.858151023289
DRR053751	S	1325095	Bradyrhizobium guangzhouense	3	18	18	0.0761931543193798	132.321806633733
DRR053751	S	83627	Bradyrhizobium genosp. B	2	11	10	0.0507954362129198	88.2145377558222
DRR053751	S	375	Bradyrhizobium japonicum	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	1437360	Bradyrhizobium erythrophlei	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	244734	Bradyrhizobium betae	1	5	5	0.0253977181064599	44.1072688779111
DRR053751	G	1395974	Tardiphaga	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	407	Methylobacterium	69	325	302	1.75244254934573	3043.40155257586
DRR053751	S	2067957	Methylobacterium sp. DM1	14	54	50	0.355568053490439	617.501764290755
DRR053751	S	269660	Methylobacterium brachiatum	4	17	17	0.10159087242584	176.429075511644
DRR053751	S	39956	Methylobacterium mesophilicum	1	4	2	0.0253977181064599	44.1072688779111
DRR053751	S	270351	Methylobacterium aquaticum	1	7	5	0.0253977181064599	44.1072688779111
DRR053751	S	2202825	Methylobacterium durans	1	4	3	0.0253977181064599	44.1072688779111
DRR053751	G	2282523	Methylorubrum	8	55	46	0.203181744851679	352.858151023289
DRR053751	S	408	Methylorubrum extorquens	4	22	22	0.10159087242584	176.429075511644
DRR053751	S	223967	Methylorubrum populi	1	21	12	0.0253977181064599	44.1072688779111
DRR053751	S	2897334	Methylorubrum sp. B1-46	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	379	Rhizobium	12	179	99	0.304772617277519	529.287226534933
DRR053751	S	2267833	Rhizobium oryzihabitans	11	53	51	0.279374899171059	485.179957657022
DRR053751	S	648995	Rhizobium pusense	1	12	10	0.0253977181064599	44.1072688779111
DRR053751	G	357	Agrobacterium	9	208	50	0.228579462958139	396.9654199012
DRR053751	S	358	Agrobacterium tumefaciens	8	101	34	0.203181744851679	352.858151023289
DRR053751	S	160699	Agrobacterium larrymoorei	1	5	2	0.0253977181064599	44.1072688779111
DRR053751	G	28105	Sinorhizobium	1	14	12	0.0253977181064599	44.1072688779111
DRR053751	S	194963	Sinorhizobium americanum	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	68287	Mesorhizobium	2	44	36	0.0507954362129198	88.2145377558222
DRR053751	S	2108445	Mesorhizobium sp. DCY119	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	2493672	Mesorhizobium sp. M1E.F.Ca.ET.045.02.1.1	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	2712688	Salaquimonas	1	40	3	0.0253977181064599	44.1072688779111
DRR053751	S	2712698	Salaquimonas pukyongi	1	40	3	0.0253977181064599	44.1072688779111
DRR053751	G	2911176	Aquibium	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	675281	Aquibium microcysteis	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	46913	Devosia	1	11	9	0.0253977181064599	44.1072688779111
DRR053751	S	1736675	Devosia sp. A16	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	1827478	Youhaiella	1	4	2	0.0253977181064599	44.1072688779111
DRR053751	S	1447062	Youhaiella tibetensis	1	4	2	0.0253977181064599	44.1072688779111
DRR053751	G	120652	Methylocella	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	227605	Methylocella tundrae	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	414371	Aureimonas	1	5	5	0.0253977181064599	44.1072688779111
DRR053751	S	2816454	Aureimonas sp. OT7	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	G	165695	Sphingobium	46	194	189	1.16829503289716	2028.93436838391
DRR053751	S	2082188	Sphingobium sp. YG1	30	120	116	0.761931543193798	1323.21806633733
DRR053751	S	407020	Sphingobium sp. MI1205	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	2185111	Sphingobium sp. LF-16	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	13690	Sphingobium yanoikuyae	3	12	12	0.0761931543193798	132.321806633733
DRR053751	S	120107	Sphingobium cloacae	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	121428	Sphingobium xenophagum	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	G	13687	Sphingomonas	17	149	142	0.431761207809819	749.823570924488
DRR053751	S	152682	Sphingomonas melonis	11	37	37	0.279374899171059	485.179957657022
DRR053751	S	2596913	Sphingomonas sp. NBWT7	1	6	6	0.0253977181064599	44.1072688779111
DRR053751	S	1030157	Sphingomonas sp. KC8	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	424800	Sphingomonas insulae	1	6	6	0.0253977181064599	44.1072688779111
DRR053751	G	165696	Novosphingobium	2	13	7	0.0507954362129198	88.2145377558222
DRR053751	S	48935	Novosphingobium aromaticivorans	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	1609758	Novosphingobium sp. P6W	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	165697	Sphingopyxis	2	27	24	0.0507954362129198	88.2145377558222
DRR053751	S	33052	Sphingopyxis terrae	2	10	10	0.0507954362129198	88.2145377558222
DRR053751	G	1649486	Rhizorhabdus	1	5	5	0.0253977181064599	44.1072688779111
DRR053751	S	160791	Rhizorhabdus wittichii	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	1111	Porphyrobacter	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	2023229	Porphyrobacter sp. HT-58-2	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	335405	Sphingosinicella	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	S	335406	Sphingosinicella microcystinivorans	1	2	2	0.0253977181064599	44.1072688779111
DRR053751	G	75	Caulobacter	57	340	301	1.44766993206822	2514.11432604093
DRR053751	S	1679497	Caulobacter flavus	37	179	172	0.939715569939017	1631.96894848271
DRR053751	S	2823693	Caulobacter sp. S6	4	38	36	0.10159087242584	176.429075511644
DRR053751	S	69665	Caulobacter sp. FWC26	1	5	5	0.0253977181064599	44.1072688779111
DRR053751	S	155892	Caulobacter vibrioides	5	19	16	0.1269885905323	220.536344389555
DRR053751	S	69395	Caulobacter henricii	1	3	3	0.0253977181064599	44.1072688779111
DRR053751	S	88688	Caulobacter segnis	1	4	4	0.0253977181064599	44.1072688779111
DRR053751	S	2010972	Caulobacter rhizosphaerae	1	9	9	0.0253977181064599	44.1072688779111
DRR053751	G	41275	Brevundimonas	12	72	71	0.304772617277519	529.287226534933
DRR053751	S	588932	Brevundimonas naejangsanensis	3	5	5	0.0761931543193798	132.321806633733
DRR053751	S	1827469	Brevundimonas sp. GW460-12-10-14-LB2	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	S	2774190	Brevundimonas goettingensis	2	5	5	0.0507954362129198	88.2145377558222
DRR053751	S	1325724	Brevundimonas vancanneytii	1	1	1	0.0253977181064599	44.1072688779111
DRR053751	G	20	Phenylobacterium	1	17	16	0.0253977181064599	44.1072688779111
DRR053751	S	284016	Phenylobacterium zucineum	1	7	7	0.0253977181064599	44.1072688779111
